State,City_Type,Store_Type,Store_Count,SKU_Count,Inventory_Management,Ordering_Method,Stockout_Frequency,Overstock_Frequency,Unsold_Inventory_Percentage,Supplier_Count,Supplier_Lead_Time,Top_Selling_Category,Demand_Driver,Peak_Season_Demand_Change,Combination_Purchase_Frequency,Common_Product_Combinations,Digital_Sales_Data_Years,Decision_Maker,AI_Comfort_Level,Most_Valuable_Feature,Monthly_Inventory_Purchase_Value,Monthly_Software_Budget,Adoption_Motivation,Adoption_Likelihood
West Bengal,Tier 1 city,Apparel / Fashion,1 store,2000–5000,Manual notebook / paper records,Past experience / intuition,Daily,Rarely,5–10%,4–10 suppliers,1–2 days,Apparel / clothing,Promotions / discounts,Slight increase,Yes frequently,Saree + blouse,1–3 years,Operations manager,Not comfortable,Inventory alerts,Less than ₹1 lakh,₹3000–₹7000,Automated purchasing,Maybe
Gujarat,Tier 1 city,Grocery / Supermarket,1 store,2000–5000,Excel / spreadsheets,Sales reports / historical data,Rarely,Occasionally,Less than 5%,4–10 suppliers,Highly variable,FMCG / grocery items,Regular repeat customers,Increases significantly,Sometimes,Rice + cooking oil,1–3 years,Store owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Increased revenue,Maybe
Gujarat,Tier 2 city,Beauty / Cosmetics,2–5 stores,Less than 500,POS or billing software,Combination of methods,Almost never,Rarely,5–10%,4–10 suppliers,1 week,Beauty / cosmetics,Regular repeat customers,Difficult to predict,Sometimes,Shampoo + conditioner,No digital data,Operations manager,Very comfortable,Demand forecasting,Less than ₹1 lakh,₹1000–₹3000,Increased revenue,Likely
Other,Tier 3 city / small town,Electronics,2–5 stores,Less than 500,POS or billing software,Past experience / intuition,Daily,Occasionally,20–30%,10–20 suppliers,Highly variable,Electronics,Regular repeat customers,Difficult to predict,Yes frequently,Other,More than 3 years,Head office / franchise owner,Not comfortable,Promotion demand prediction,Less than ₹1 lakh,₹7000–₹15000,Reduced stockouts,Unlikely
Other,Tier 1 city,General Store / Kirana,6–10 stores,5000–10000,Excel / spreadsheets,Past experience / intuition,Monthly,Occasionally,Less than 5%,10–20 suppliers,Highly variable,FMCG / grocery items,Promotions / discounts,Slight increase,Sometimes,Rice + cooking oil,No digital data,Store owner,Very comfortable,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Increased revenue,Very likely
Other,Tier 1 city,Beauty / Cosmetics,6–10 stores,5000–10000,POS or billing software,Supplier recommendations,Weekly,Occasionally,5–10%,10–20 suppliers,3–5 days,Beauty / cosmetics,Seasonal weather,Slight increase,Yes frequently,Shampoo + conditioner,More than 3 years,Store owner,Somewhat comfortable,Demand forecasting,₹1–5 lakh,Less than ₹1000,Automated purchasing,Maybe
Karnataka,Tier 1 city,Apparel / Fashion,2–5 stores,Less than 500,Manual notebook / paper records,Combination of methods,Monthly,Occasionally,5–10%,10–20 suppliers,Same day,Apparel / clothing,Festivals,Slight increase,Sometimes,Saree + blouse,More than 3 years,Store owner,Not comfortable,Demand forecasting,₹5–10 lakh,Less than ₹1000,Increased revenue,Likely
Maharashtra,Tier 1 city,Grocery / Supermarket,25+ stores,More than 10000,Manual notebook / paper records,Supplier recommendations,Monthly,Very frequently,5–10%,1–3 suppliers,Highly variable,FMCG / grocery items,Promotions / discounts,No change,Sometimes,Rice + cooking oil,No digital data,Head office / franchise owner,Not comfortable,Demand forecasting,Less than ₹1 lakh,₹7000–₹15000,Lower inventory cost,Maybe
Other,Tier 1 city,Electronics,2–5 stores,Less than 500,Excel / spreadsheets,Sales reports / historical data,Rarely,Occasionally,5–10%,1–3 suppliers,Highly variable,Electronics,Seasonal weather,Increases significantly,Sometimes,Other,Less than 1 year,Store owner,Somewhat comfortable,Demand forecasting,₹5–10 lakh,Less than ₹1000,Increased revenue,Likely
Maharashtra,Tier 3 city / small town,Electronics,6–10 stores,2000–5000,Excel / spreadsheets,Supplier recommendations,Monthly,Occasionally,5–10%,1–3 suppliers,Same day,Electronics,Regular repeat customers,No change,Sometimes,Other,1–3 years,Operations manager,Not comfortable,Promotion demand prediction,₹5–10 lakh,₹1000–₹3000,Increased revenue,Unlikely
Uttar Pradesh,Tier 2 city,Pharmacy / Medical Store,1 store,More than 10000,POS or billing software,Supplier recommendations,Monthly,Occasionally,Less than 5%,4–10 suppliers,1 week,Medicines / healthcare products,Social media trends,Increases significantly,Sometimes,Medicines + health supplements,More than 3 years,Store owner,Somewhat comfortable,Inventory alerts,₹5–10 lakh,More than ₹15000,Better supplier management,Likely
Delhi/NCR,Tier 2 city,Grocery / Supermarket,1 store,500–2000,Combination of multiple tools,Sales reports / historical data,Monthly,Rarely,5–10%,1–3 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Slight increase,Yes frequently,Rice + cooking oil,More than 3 years,Store owner,Somewhat comfortable,Supplier performance insights,₹1–5 lakh,Less than ₹1000,Increased revenue,Unlikely
Delhi/NCR,Tier 2 city,Grocery / Supermarket,1 store,500–2000,Excel / spreadsheets,Sales reports / historical data,Weekly,Occasionally,5–10%,4–10 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Slight increase,Rarely,Rice + cooking oil,Less than 1 year,Store owner,Somewhat comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Automated purchasing,Maybe
Delhi/NCR,Tier 2 city,Beauty / Cosmetics,1 store,Less than 500,Combination of multiple tools,Combination of methods,Monthly,Occasionally,20–30%,1–3 suppliers,3–5 days,Beauty / cosmetics,Seasonal weather,Difficult to predict,Rarely,Shampoo + conditioner,1–3 years,Store owner,Very comfortable,Automatic reorder suggestions,₹1–5 lakh,Less than ₹1000,Better supplier management,Unlikely
Karnataka,Tier 2 city,Grocery / Supermarket,1 store,Less than 500,POS or billing software,Past experience / intuition,Monthly,Very frequently,Less than 5%,10–20 suppliers,1–2 days,FMCG / grocery items,Social media trends,No change,Yes frequently,Rice + cooking oil,More than 3 years,Store owner,Not comfortable,Automatic reorder suggestions,Less than ₹1 lakh,₹1000–₹3000,Better supplier management,Very likely
Rajasthan,Rural,Apparel / Fashion,11–25 stores,5000–10000,Combination of multiple tools,Past experience / intuition,Rarely,Rarely,10–20%,1–3 suppliers,Highly variable,Apparel / clothing,Seasonal weather,Slight increase,Sometimes,Saree + blouse,Less than 1 year,IT team,Not comfortable,Demand forecasting,₹5–10 lakh,₹1000–₹3000,Better supplier management,Unlikely
Karnataka,Tier 1 city,Pharmacy / Medical Store,2–5 stores,500–2000,POS or billing software,Sales reports / historical data,Monthly,Occasionally,5–10%,10–20 suppliers,1–2 days,Medicines / healthcare products,Social media trends,Increases significantly,Rarely,Medicines + health supplements,1–3 years,Store owner,Not comfortable,Demand forecasting,₹1–5 lakh,₹7000–₹15000,Better supplier management,Very likely
West Bengal,Tier 2 city,Apparel / Fashion,1 store,2000–5000,Combination of multiple tools,Combination of methods,Rarely,Occasionally,5–10%,4–10 suppliers,Highly variable,Apparel / clothing,Regular repeat customers,Slight increase,Sometimes,Saree + blouse,More than 3 years,Head office / franchise owner,Somewhat comfortable,Supplier performance insights,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Likely
Karnataka,Tier 3 city / small town,Apparel / Fashion,2–5 stores,Less than 500,Combination of multiple tools,Supplier recommendations,Monthly,Occasionally,10–20%,4–10 suppliers,1 week,Apparel / clothing,Festivals,Difficult to predict,Sometimes,Saree + blouse,Less than 1 year,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹10–50 lakh,₹1000–₹3000,Lower inventory cost,Likely
West Bengal,Tier 3 city / small town,Pharmacy / Medical Store,6–10 stores,Less than 500,Manual notebook / paper records,Combination of methods,Weekly,Occasionally,10–20%,4–10 suppliers,1–2 days,Medicines / healthcare products,Social media trends,No change,Rarely,Medicines + health supplements,Less than 1 year,Operations manager,Neutral,Supplier performance insights,Less than ₹1 lakh,₹3000–₹7000,Reduced stockouts,Likely
Delhi/NCR,Tier 1 city,Grocery / Supermarket,1 store,Less than 500,ERP or inventory management software,Supplier recommendations,Almost never,Rarely,Less than 5%,4–10 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,No change,Sometimes,Rice + cooking oil,1–3 years,Operations manager,Not comfortable,Supplier performance insights,Less than ₹1 lakh,₹3000–₹7000,Reduced stockouts,Likely
West Bengal,Tier 2 city,Grocery / Supermarket,1 store,5000–10000,POS or billing software,Supplier recommendations,Monthly,Occasionally,20–30%,4–10 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Difficult to predict,Rarely,Rice + cooking oil,Less than 1 year,Store owner,Somewhat comfortable,Supplier performance insights,₹1–5 lakh,Less than ₹1000,Automated purchasing,Maybe
Other,Tier 1 city,Beauty / Cosmetics,2–5 stores,2000–5000,POS or billing software,Software analytics,Weekly,Rarely,10–20%,1–3 suppliers,3–5 days,Beauty / cosmetics,Regular repeat customers,Increases significantly,Sometimes,Shampoo + conditioner,More than 3 years,Head office / franchise owner,Somewhat comfortable,Automatic reorder suggestions,₹5–10 lakh,₹1000–₹3000,Better supplier management,Maybe
Uttar Pradesh,Tier 1 city,Apparel / Fashion,1 store,2000–5000,POS or billing software,Combination of methods,Rarely,Never,20–30%,1–3 suppliers,3–5 days,Apparel / clothing,Festivals,Difficult to predict,Yes frequently,Saree + blouse,1–3 years,Head office / franchise owner,Somewhat comfortable,Demand forecasting,₹10–50 lakh,₹7000–₹15000,Reduced stockouts,Likely
Telangana,Tier 1 city,Pharmacy / Medical Store,6–10 stores,2000–5000,Manual notebook / paper records,Combination of methods,Daily,Rarely,10–20%,10–20 suppliers,1–2 days,Medicines / healthcare products,Festivals,No change,Yes frequently,Medicines + health supplements,1–3 years,IT team,Not comfortable,Inventory alerts,₹1–5 lakh,₹3000–₹7000,Lower inventory cost,Likely
Gujarat,Tier 1 city,General Store / Kirana,1 store,Less than 500,POS or billing software,Past experience / intuition,Weekly,Never,10–20%,1–3 suppliers,3–5 days,FMCG / grocery items,Festivals,Increases significantly,Sometimes,Rice + cooking oil,1–3 years,IT team,Somewhat comfortable,Promotion demand prediction,₹1–5 lakh,₹1000–₹3000,Better supplier management,Definitely not
Other,Tier 3 city / small town,Apparel / Fashion,6–10 stores,Less than 500,Combination of multiple tools,Past experience / intuition,Weekly,Occasionally,20–30%,1–3 suppliers,1 week,Apparel / clothing,Seasonal weather,Slight increase,Sometimes,Saree + blouse,No digital data,Head office / franchise owner,Neutral,Automatic reorder suggestions,₹5–10 lakh,Less than ₹1000,Increased revenue,Unlikely
Telangana,Tier 3 city / small town,Apparel / Fashion,2–5 stores,500–2000,POS or billing software,Supplier recommendations,Rarely,Never,More than 30%,10–20 suppliers,3–5 days,Apparel / clothing,Regular repeat customers,Increases significantly,Sometimes,Saree + blouse,Less than 1 year,Store owner,Neutral,Promotion demand prediction,₹10–50 lakh,₹3000–₹7000,Increased revenue,Maybe
Uttar Pradesh,Tier 2 city,Grocery / Supermarket,1 store,Less than 500,Excel / spreadsheets,Past experience / intuition,Weekly,Occasionally,Less than 5%,10–20 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Yes frequently,Snacks + beverages,No digital data,IT team,Not comfortable,Demand forecasting,₹1–5 lakh,₹7000–₹15000,Reduced stockouts,Likely
Telangana,Tier 1 city,Other,1 store,2000–5000,Excel / spreadsheets,Past experience / intuition,Monthly,Very frequently,20–30%,4–10 suppliers,3–5 days,Electronics,Seasonal weather,No change,Sometimes,Other,No digital data,Head office / franchise owner,Not comfortable,Inventory alerts,₹10–50 lakh,₹1000–₹3000,Lower inventory cost,Likely
Gujarat,Tier 3 city / small town,Grocery / Supermarket,1 store,2000–5000,Manual notebook / paper records,Past experience / intuition,Daily,Never,5–10%,4–10 suppliers,Highly variable,FMCG / grocery items,Social media trends,Slight increase,Sometimes,Snacks + beverages,1–3 years,Operations manager,Very comfortable,Promotion demand prediction,₹10–50 lakh,₹1000–₹3000,Lower inventory cost,Unlikely
Telangana,Tier 1 city,Pharmacy / Medical Store,6–10 stores,500–2000,Excel / spreadsheets,Combination of methods,Monthly,Occasionally,10–20%,4–10 suppliers,3–5 days,Medicines / healthcare products,Festivals,Slight increase,Rarely,Other,No digital data,Store owner,Somewhat comfortable,Inventory alerts,₹10–50 lakh,₹7000–₹15000,Increased revenue,Unlikely
Delhi/NCR,Tier 1 city,Beauty / Cosmetics,1 store,Less than 500,Combination of multiple tools,Combination of methods,Monthly,Occasionally,5–10%,1–3 suppliers,3–5 days,Beauty / cosmetics,Promotions / discounts,Increases significantly,Sometimes,Shampoo + conditioner,More than 3 years,Store owner,Not comfortable,Automatic reorder suggestions,₹1–5 lakh,More than ₹15000,Reduced stockouts,Maybe
Delhi/NCR,Tier 1 city,Apparel / Fashion,2–5 stores,2000–5000,Combination of multiple tools,Software analytics,Rarely,Rarely,5–10%,4–10 suppliers,1–2 days,Apparel / clothing,Promotions / discounts,Increases significantly,Sometimes,Saree + blouse,1–3 years,Store owner,Not comfortable,Automatic reorder suggestions,₹10–50 lakh,Less than ₹1000,Increased revenue,Likely
Karnataka,Tier 3 city / small town,Beauty / Cosmetics,2–5 stores,2000–5000,Excel / spreadsheets,Sales reports / historical data,Monthly,Very frequently,Less than 5%,1–3 suppliers,1–2 days,Beauty / cosmetics,Social media trends,Slight increase,Sometimes,Shampoo + conditioner,More than 3 years,Store owner,Very comfortable,Automatic reorder suggestions,₹10–50 lakh,₹7000–₹15000,Better supplier management,Definitely not
Maharashtra,Tier 3 city / small town,Pharmacy / Medical Store,1 store,500–2000,Combination of multiple tools,Sales reports / historical data,Monthly,Rarely,20–30%,4–10 suppliers,1 week,Medicines / healthcare products,Promotions / discounts,Slight increase,Sometimes,Medicines + health supplements,1–3 years,Distributor recommendation,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹7000–₹15000,Lower inventory cost,Likely
Telangana,Tier 2 city,Apparel / Fashion,2–5 stores,500–2000,POS or billing software,Software analytics,Rarely,Rarely,5–10%,4–10 suppliers,3–5 days,Apparel / clothing,Promotions / discounts,Slight increase,Sometimes,Saree + blouse,More than 3 years,Store owner,Somewhat comfortable,Inventory alerts,Less than ₹1 lakh,₹1000–₹3000,Lower inventory cost,Maybe
Maharashtra,Tier 2 city,Electronics,2–5 stores,More than 10000,POS or billing software,Combination of methods,Weekly,Occasionally,5–10%,1–3 suppliers,3–5 days,Electronics,Seasonal weather,Slight increase,Yes frequently,Other,No digital data,Distributor recommendation,Not comfortable,Inventory alerts,More than ₹50 lakh,₹1000–₹3000,Increased revenue,Unlikely
Maharashtra,Tier 2 city,Grocery / Supermarket,2–5 stores,500–2000,Excel / spreadsheets,Combination of methods,Monthly,Occasionally,Less than 5%,4–10 suppliers,Highly variable,FMCG / grocery items,Regular repeat customers,No change,Never,Rice + cooking oil,More than 3 years,Store owner,Not comfortable,Inventory alerts,Less than ₹1 lakh,Less than ₹1000,Reduced stockouts,Maybe
Uttar Pradesh,Rural,Pharmacy / Medical Store,1 store,Less than 500,Excel / spreadsheets,Past experience / intuition,Monthly,Occasionally,Less than 5%,1–3 suppliers,Highly variable,Medicines / healthcare products,Festivals,Slight increase,Sometimes,Medicines + health supplements,1–3 years,Operations manager,Somewhat comfortable,Demand forecasting,₹5–10 lakh,More than ₹15000,Increased revenue,Unlikely
Delhi/NCR,Tier 2 city,Electronics,1 store,500–2000,POS or billing software,Past experience / intuition,Weekly,Rarely,5–10%,10–20 suppliers,Highly variable,Electronics,Regular repeat customers,Slight increase,Yes frequently,Other,1–3 years,Operations manager,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Reduced stockouts,Likely
Gujarat,Tier 1 city,Grocery / Supermarket,11–25 stores,500–2000,POS or billing software,Software analytics,Monthly,Occasionally,20–30%,10–20 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Rice + cooking oil,1–3 years,Operations manager,Very comfortable,Supplier performance insights,₹10–50 lakh,More than ₹15000,Better supplier management,Maybe
Gujarat,Tier 1 city,Pharmacy / Medical Store,2–5 stores,500–2000,Excel / spreadsheets,Past experience / intuition,Almost never,Occasionally,More than 30%,1–3 suppliers,3–5 days,Medicines / healthcare products,Promotions / discounts,No change,Sometimes,Medicines + health supplements,More than 3 years,Head office / franchise owner,Neutral,Inventory alerts,Less than ₹1 lakh,₹3000–₹7000,Lower inventory cost,Unlikely
Delhi/NCR,Tier 2 city,Electronics,6–10 stores,2000–5000,ERP or inventory management software,Software analytics,Rarely,Rarely,More than 30%,1–3 suppliers,3–5 days,Electronics,Regular repeat customers,Slight increase,Yes frequently,Other,1–3 years,Store owner,Neutral,Promotion demand prediction,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Likely
Gujarat,Tier 1 city,Apparel / Fashion,2–5 stores,2000–5000,Excel / spreadsheets,Past experience / intuition,Almost never,Rarely,Less than 5%,10–20 suppliers,1–2 days,Apparel / clothing,Regular repeat customers,No change,Never,Saree + blouse,More than 3 years,Store owner,Neutral,Supplier performance insights,₹1–5 lakh,₹3000–₹7000,Increased revenue,Likely
Gujarat,Tier 1 city,Apparel / Fashion,11–25 stores,500–2000,ERP or inventory management software,Combination of methods,Rarely,Occasionally,20–30%,10–20 suppliers,1 week,Apparel / clothing,Regular repeat customers,Slight increase,Sometimes,Saree + blouse,More than 3 years,Store owner,Very comfortable,Supplier performance insights,Less than ₹1 lakh,Less than ₹1000,Reduced stockouts,Likely
Rajasthan,Rural,Apparel / Fashion,1 store,Less than 500,Manual notebook / paper records,Sales reports / historical data,Almost never,Never,5–10%,4–10 suppliers,1–2 days,Apparel / clothing,Promotions / discounts,Slight increase,Yes frequently,Saree + blouse,1–3 years,Head office / franchise owner,Neutral,Demand forecasting,₹1–5 lakh,Less than ₹1000,Reduced stockouts,Likely
Other,Tier 2 city,Grocery / Supermarket,11–25 stores,2000–5000,Excel / spreadsheets,Past experience / intuition,Weekly,Never,More than 30%,4–10 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,Slight increase,Never,Rice + cooking oil,Less than 1 year,Store owner,Neutral,Automatic reorder suggestions,Less than ₹1 lakh,Less than ₹1000,Lower inventory cost,Unlikely
Maharashtra,Tier 2 city,General Store / Kirana,1 store,500–2000,ERP or inventory management software,Software analytics,Almost never,Occasionally,10–20%,4–10 suppliers,1–2 days,FMCG / grocery items,Seasonal weather,Slight increase,Rarely,Rice + cooking oil,1–3 years,Store owner,Somewhat comfortable,Promotion demand prediction,Less than ₹1 lakh,₹1000–₹3000,Better supplier management,Very likely
Telangana,Tier 3 city / small town,Beauty / Cosmetics,2–5 stores,Less than 500,Excel / spreadsheets,Supplier recommendations,Monthly,Rarely,20–30%,10–20 suppliers,3–5 days,Beauty / cosmetics,Seasonal weather,Slight increase,Yes frequently,Other,Less than 1 year,Store owner,Neutral,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Increased revenue,Unlikely
Delhi/NCR,Tier 1 city,Grocery / Supermarket,11–25 stores,500–2000,POS or billing software,Sales reports / historical data,Rarely,Never,5–10%,4–10 suppliers,1–2 days,FMCG / grocery items,Social media trends,Slight increase,Yes frequently,Rice + cooking oil,More than 3 years,Head office / franchise owner,Neutral,Automatic reorder suggestions,More than ₹50 lakh,₹3000–₹7000,Lower inventory cost,Likely
Karnataka,Tier 1 city,Pharmacy / Medical Store,1 store,500–2000,POS or billing software,Past experience / intuition,Weekly,Rarely,Less than 5%,4–10 suppliers,3–5 days,Medicines / healthcare products,Regular repeat customers,Increases significantly,Rarely,Other,More than 3 years,Store owner,Neutral,Supplier performance insights,₹5–10 lakh,₹1000–₹3000,Increased revenue,Very likely
Tamil Nadu,Rural,Apparel / Fashion,11–25 stores,Less than 500,Excel / spreadsheets,Sales reports / historical data,Monthly,Rarely,20–30%,More than 20 suppliers,3–5 days,Apparel / clothing,Regular repeat customers,Increases significantly,Sometimes,Saree + blouse,No digital data,Operations manager,Not comfortable,Inventory alerts,₹5–10 lakh,₹3000–₹7000,Increased revenue,Unlikely
Rajasthan,Tier 1 city,Pharmacy / Medical Store,1 store,500–2000,POS or billing software,Supplier recommendations,Weekly,Occasionally,5–10%,4–10 suppliers,1–2 days,Medicines / healthcare products,Social media trends,Slight increase,Yes frequently,Medicines + health supplements,1–3 years,Operations manager,Not comfortable,Supplier performance insights,More than ₹50 lakh,More than ₹15000,Reduced stockouts,Likely
Gujarat,Tier 2 city,General Store / Kirana,2–5 stores,500–2000,POS or billing software,Past experience / intuition,Weekly,Rarely,10–20%,10–20 suppliers,3–5 days,FMCG / grocery items,Social media trends,Difficult to predict,Yes frequently,Snacks + beverages,More than 3 years,IT team,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Reduced stockouts,Very likely
Other,Tier 1 city,Grocery / Supermarket,1 store,Less than 500,Combination of multiple tools,Supplier recommendations,Weekly,Occasionally,5–10%,4–10 suppliers,1 week,FMCG / grocery items,Promotions / discounts,Slight increase,Sometimes,Rice + cooking oil,More than 3 years,Operations manager,Very comfortable,Automatic reorder suggestions,₹5–10 lakh,₹3000–₹7000,Automated purchasing,Very likely
West Bengal,Tier 3 city / small town,Pharmacy / Medical Store,2–5 stores,5000–10000,POS or billing software,Sales reports / historical data,Daily,Occasionally,20–30%,10–20 suppliers,Same day,Medicines / healthcare products,Regular repeat customers,Difficult to predict,Sometimes,Other,No digital data,Operations manager,Not comfortable,Demand forecasting,₹1–5 lakh,₹1000–₹3000,Increased revenue,Maybe
Gujarat,Tier 3 city / small town,General Store / Kirana,2–5 stores,2000–5000,Excel / spreadsheets,Sales reports / historical data,Monthly,Rarely,10–20%,1–3 suppliers,1–2 days,FMCG / grocery items,Festivals,Difficult to predict,Rarely,Rice + cooking oil,More than 3 years,Store owner,Very comfortable,Inventory alerts,₹1–5 lakh,₹7000–₹15000,Lower inventory cost,Likely
Maharashtra,Tier 1 city,Grocery / Supermarket,11–25 stores,2000–5000,POS or billing software,Sales reports / historical data,Rarely,Occasionally,10–20%,4–10 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Sometimes,Snacks + beverages,1–3 years,Store owner,Not comfortable,Automatic reorder suggestions,₹5–10 lakh,₹3000–₹7000,Lower inventory cost,Maybe
Maharashtra,Rural,Grocery / Supermarket,1 store,500–2000,Combination of multiple tools,Software analytics,Monthly,Never,5–10%,1–3 suppliers,3–5 days,FMCG / grocery items,Seasonal weather,Difficult to predict,Sometimes,Snacks + beverages,1–3 years,Store owner,Somewhat comfortable,Promotion demand prediction,₹5–10 lakh,₹1000–₹3000,Increased revenue,Very likely
Tamil Nadu,Tier 2 city,Grocery / Supermarket,2–5 stores,500–2000,POS or billing software,Past experience / intuition,Weekly,Very frequently,Less than 5%,More than 20 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Slight increase,Sometimes,Other,Less than 1 year,Store owner,Not comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Automated purchasing,Very likely
Tamil Nadu,Tier 1 city,General Store / Kirana,11–25 stores,5000–10000,Excel / spreadsheets,Combination of methods,Monthly,Rarely,10–20%,1–3 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Snacks + beverages,1–3 years,Store owner,Somewhat comfortable,Promotion demand prediction,Less than ₹1 lakh,Less than ₹1000,Reduced stockouts,Unlikely
Telangana,Tier 1 city,Beauty / Cosmetics,1 store,2000–5000,Combination of multiple tools,Combination of methods,Monthly,Occasionally,More than 30%,10–20 suppliers,3–5 days,Beauty / cosmetics,Seasonal weather,Slight increase,Sometimes,Shampoo + conditioner,1–3 years,Store owner,Somewhat comfortable,Promotion demand prediction,₹5–10 lakh,Less than ₹1000,Increased revenue,Likely
Maharashtra,Tier 2 city,Grocery / Supermarket,6–10 stores,Less than 500,Combination of multiple tools,Sales reports / historical data,Weekly,Occasionally,5–10%,1–3 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Never,Snacks + beverages,Less than 1 year,Operations manager,Neutral,Promotion demand prediction,₹10–50 lakh,Less than ₹1000,Increased revenue,Maybe
Delhi/NCR,Tier 1 city,Electronics,1 store,5000–10000,Combination of multiple tools,Combination of methods,Rarely,Occasionally,Less than 5%,4–10 suppliers,3–5 days,Electronics,Promotions / discounts,Slight increase,Sometimes,Other,Less than 1 year,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹5–10 lakh,Less than ₹1000,Better supplier management,Very likely
Tamil Nadu,Tier 3 city / small town,Apparel / Fashion,2–5 stores,Less than 500,Combination of multiple tools,Combination of methods,Daily,Occasionally,5–10%,10–20 suppliers,3–5 days,Apparel / clothing,Festivals,Difficult to predict,Sometimes,Saree + blouse,1–3 years,Store owner,Neutral,Inventory alerts,₹1–5 lakh,Less than ₹1000,Lower inventory cost,Maybe
Tamil Nadu,Tier 2 city,Pharmacy / Medical Store,6–10 stores,Less than 500,Manual notebook / paper records,Past experience / intuition,Daily,Never,More than 30%,10–20 suppliers,1–2 days,Medicines / healthcare products,Regular repeat customers,No change,Yes frequently,Other,1–3 years,Operations manager,Neutral,Demand forecasting,₹1–5 lakh,₹7000–₹15000,Automated purchasing,Unlikely
Telangana,Tier 2 city,Grocery / Supermarket,2–5 stores,500–2000,POS or billing software,Sales reports / historical data,Daily,Rarely,10–20%,4–10 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Slight increase,Yes frequently,Rice + cooking oil,No digital data,Store owner,Not comfortable,Automatic reorder suggestions,Less than ₹1 lakh,₹3000–₹7000,Reduced stockouts,Unlikely
Uttar Pradesh,Tier 3 city / small town,Grocery / Supermarket,1 store,Less than 500,Excel / spreadsheets,Combination of methods,Monthly,Rarely,Less than 5%,1–3 suppliers,Highly variable,FMCG / grocery items,Promotions / discounts,Slight increase,Never,Snacks + beverages,1–3 years,Store owner,Somewhat comfortable,Inventory alerts,Less than ₹1 lakh,₹1000–₹3000,Reduced stockouts,Very likely
Maharashtra,Tier 2 city,Grocery / Supermarket,11–25 stores,500–2000,Excel / spreadsheets,Combination of methods,Rarely,Never,5–10%,1–3 suppliers,3–5 days,FMCG / grocery items,Seasonal weather,Difficult to predict,Yes frequently,Snacks + beverages,1–3 years,Head office / franchise owner,Somewhat comfortable,Promotion demand prediction,₹5–10 lakh,₹1000–₹3000,Better supplier management,Maybe
Uttar Pradesh,Tier 1 city,Grocery / Supermarket,1 store,Less than 500,Combination of multiple tools,Past experience / intuition,Rarely,Rarely,5–10%,1–3 suppliers,Highly variable,FMCG / grocery items,Social media trends,Slight increase,Sometimes,Rice + cooking oil,More than 3 years,Head office / franchise owner,Not comfortable,Supplier performance insights,₹5–10 lakh,More than ₹15000,Better supplier management,Very likely
Maharashtra,Tier 2 city,Grocery / Supermarket,2–5 stores,500–2000,Combination of multiple tools,Combination of methods,Rarely,Very frequently,5–10%,10–20 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Snacks + beverages,1–3 years,Head office / franchise owner,Not comfortable,Automatic reorder suggestions,₹5–10 lakh,₹3000–₹7000,Automated purchasing,Definitely not
Tamil Nadu,Tier 2 city,Beauty / Cosmetics,11–25 stores,5000–10000,Manual notebook / paper records,Combination of methods,Monthly,Rarely,20–30%,4–10 suppliers,1–2 days,Beauty / cosmetics,Festivals,Slight increase,Rarely,Shampoo + conditioner,1–3 years,Store owner,Somewhat comfortable,Demand forecasting,₹10–50 lakh,Less than ₹1000,Lower inventory cost,Likely
Maharashtra,Tier 2 city,Electronics,1 store,2000–5000,ERP or inventory management software,Past experience / intuition,Monthly,Very frequently,5–10%,10–20 suppliers,1 week,Electronics,Regular repeat customers,Increases significantly,Sometimes,Other,1–3 years,Distributor recommendation,Very comfortable,Inventory alerts,More than ₹50 lakh,₹1000–₹3000,Reduced stockouts,Likely
